NAMESPACE,NAME,VS,PF,READY,STATUS,RESTARTS,LAST RESTART,CPU,MEM,CPU/R:L,MEM/R:L,%CPU/R,%CPU/L,%MEM/R,%MEM/L,IP,NODE,SERVICEACCOUNT,NOMINATED NODE,READINESS GATES,QOS,LABELS,VALID,AGE
elisity-monitoring,dd-agent-wxcnl,0,●,3/3,Running,0,<unknown>,43,376,0:0,0:0,n/a,n/a,n/a,n/a,10.218.110.123,ip-10-218-115-222.ec2.internal,dd-agent,<none>,<none>,BE,agent.datadoghq.com/component=agent agent.datadoghq.com/name=dd agent.datadoghq.com/provider= app.kubernetes.io/component=agent app.kubernetes.io/instance=dd-agent app.kubernetes.io/managed-by=datadog-operator app.kubernetes.io/name=datadog-agent-deployment app.kubernetes.io/part-of=elisity--monitoring-dd app.kubernetes.io/version= controller-revision-hash=797c859984 pod-template-generation=3,,6m
default,kafka-cluster-kafka-0,0,●,1/1,Running,0,<unknown>,130,1625,0:0,0:0,n/a,n/a,n/a,n/a,10.218.64.34,ip-10-218-82-133.ec2.internal,kafka-cluster-kafka,<none>,<none>,BE,app.kubernetes.io/instance=kafka-cluster app.kubernetes.io/managed-by=strimzi-cluster-operator app.kubernetes.io/name=kafka app.kubernetes.io/part-of=strimzi-kafka-cluster statefulset.kubernetes.io/pod-name=kafka-cluster-kafka-0 strimzi.io/broker-role=true strimzi.io/cluster=kafka-cluster strimzi.io/component-type=kafka strimzi.io/controller=strimzipodset strimzi.io/controller-name=kafka-cluster-kafka strimzi.io/controller-role=false strimzi.io/kind=Kafka strimzi.io/name=kafka-cluster-kafka strimzi.io/pod-name=kafka-cluster-kafka-0 strimzi.io/pool-name=kafka,,13m
kube-system,ebs-csi-controller-545cdffdbb-78l95,0,●,6/6,Running,0,<unknown>,3,58,60:0,240:1536,5,n/a,24,3,10.218.35.150,ip-10-218-53-71.ec2.internal,ebs-csi-controller-sa,<none>,<none>,BU,app=ebs-csi-controller app.kubernetes.io/component=csi-driver app.kubernetes.io/instance=aws-ebs-csi-driver app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=aws-ebs-csi-driver app.kubernetes.io/version=1.26.1 helm.sh/chart=aws-ebs-csi-driver-2.26.1 pod-template-hash=545cdffdbb,,17m
kube-system,kube-proxy-w7sxd,0,●,1/1,Running,0,<unknown>,3,17,100:0,0:0,3,n/a,n/a,n/a,10.218.38.218,ip-10-218-38-218.ec2.internal,kube-proxy,<none>,<none>,BU,controller-revision-hash=65f976f6bf k8s-app=kube-proxy pod-template-generation=2,,19m
emissary-system,emissary-apiext-54b445b84b-gj5rn,0,●,1/1,Running,0,<unknown>,1,24,0:0,0:0,n/a,n/a,n/a,n/a,10.218.36.94,ip-10-218-53-71.ec2.internal,emissary-apiext,<none>,<none>,BE,app.kubernetes.io/instance=emissary-apiext app.kubernetes.io/managed-by=kubectl_apply_-f_emissary-apiext.yaml app.kubernetes.io/name=emissary-apiext app.kubernetes.io/part-of=emissary-apiext pod-template-hash=54b445b84b,,18m
default,postgres-ha-3,0,●,1/1,Running,0,<unknown>,57,529,1000:0,8192:0,5,n/a,6,n/a,10.218.105.29,ip-10-218-115-222.ec2.internal,postgres-ha,<none>,<none>,BU,app.kubernetes.io/component=systemservices cnpg.io/cluster=postgres-ha cnpg.io/instanceName=postgres-ha-3 cnpg.io/instanceRole=primary cnpg.io/podRole=instance role=primary,,13m
secrets-operator,onepassword-connect-5fc7c5b8d5-l8lns,0,●,2/2,Running,0,<unknown>,1,14,0:0,0:0,n/a,n/a,n/a,n/a,10.218.62.150,ip-10-218-60-198.ec2.internal,default,<none>,<none>,BE,app=onepassword-connect app.kubernetes.io/component=connect pod-template-hash=5fc7c5b8d5 version=1.7.3,,18m
cattle-logging-system,loki-write-0,0,●,1/1,Running,0,<unknown>,10,100,0:0,2500:2500,n/a,n/a,4,4,10.218.41.75,ip-10-218-58-27.ec2.internal,loki,<none>,<none>,BU,app.kubernetes.io/component=write app.kubernetes.io/instance=loki app.kubernetes.io/name=loki app.kubernetes.io/part-of=memberlist apps.kubernetes.io/pod-index=0 controller-revision-hash=loki-write-c4ff84c4d statefulset.kubernetes.io/pod-name=loki-write-0,,13m
cattle-monitoring-system,rancher-monitoring-prometheus-adapter-5bf549b5fd-jcx9x,0,●,1/1,Running,1,2m40s,456,479,0:0,0:0,n/a,n/a,n/a,n/a,10.218.50.62,ip-10-218-58-27.ec2.internal,rancher-monitoring-prometheus-adapter,<none>,<none>,BE,app.kubernetes.io/component=metrics app.kubernetes.io/instance=rancher-monitoring app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=prometheus-adapter app.kubernetes.io/part-of=prometheus-adapter app.kubernetes.io/version=v0.10.0 helm.sh/chart=prometheus-adapter-3.4.0 pod-template-hash=5bf549b5fd,,18m
cattle-logging-system,loki-canary-k6m9x,0,●,1/1,Running,0,<unknown>,2,16,0:0,0:0,n/a,n/a,n/a,n/a,10.218.54.95,ip-10-218-60-198.ec2.internal,loki-canary,<none>,<none>,BE,app.kubernetes.io/component=canary app.kubernetes.io/instance=loki app.kubernetes.io/name=loki controller-revision-hash=559c87c5dc pod-template-generation=1,,20m
kube-system,aws-node-nccws,0,●,2/2,Running,0,<unknown>,4,63,50:0,0:0,8,n/a,n/a,n/a,10.218.38.218,ip-10-218-38-218.ec2.internal,aws-node,<none>,<none>,BU,app.kubernetes.io/instance=aws-vpc-cni app.kubernetes.io/name=aws-node controller-revision-hash=75c9c677b8 k8s-app=aws-node pod-template-generation=3,,19m
emissary,emissary-ingress-tls-7b4766bb-dh6p4,0,●,1/1,Running,0,<unknown>,10,305,200:1000,300:1228,5,1,101,24,10.218.33.50,ip-10-218-58-27.ec2.internal,emissary-ingress,<none>,<none>,BU,app.kubernetes.io/instance=emissary-ingress-tls app.kubernetes.io/managed-by=getambassador.io app.kubernetes.io/name=emissary-ingress-tls app.kubernetes.io/part-of=emissary-ingress pod-template-hash=7b4766bb product=aes profile=main,,18m
default,postgres-ha-2,0,●,1/1,Running,0,<unknown>,23,273,1000:0,8192:0,2,n/a,3,n/a,10.218.93.205,ip-10-218-82-133.ec2.internal,postgres-ha,<none>,<none>,BU,app.kubernetes.io/component=systemservices cnpg.io/cluster=postgres-ha cnpg.io/instanceName=postgres-ha-2 cnpg.io/instanceRole=replica cnpg.io/podRole=instance role=replica,,3m11s
